ID,TEXT,TEXT_CLEANED,TOKENS,TOKENS_NO_STOP,TOKENS_LEMMATIZED,TEXT_PROCESSED,SENTIMENT
11,The cooperation is expected to increase productivity and competitiveness of the agro-food sectors of both countries.,the cooperation is expected to increase productivity and competitiveness of the agro food sectors of both countries,"['the', 'cooperation', 'is', 'expected', 'to', 'increase', 'productivity', 'and', 'competitiveness', 'of', 'the', 'agro', 'food', 'sectors', 'of', 'both', 'countries']","['cooperation', 'expected', 'increase', 'productivity', 'competitiveness', 'agro', 'food', 'sectors', 'countries']","['cooperation', 'expect', 'increase', 'productivity', 'competitiveness', 'agro', 'food', 'sector', 'country']",cooperation expect increase productivity competitiveness agro food sector country,POSITIVE
12,"Meraque Group launched operations in Uzbekistan, marking its expansion into the Central Asian market.",meraque group launched operations in uzbekistan marking its expansion into the central asian market,"['meraque', 'group', 'launched', 'operations', 'in', 'uzbekistan', 'marking', 'its', 'expansion', 'into', 'the', 'central', 'asian', 'market']","['meraque', 'group', 'launched', 'operations', 'uzbekistan', 'marking', 'expansion', 'central', 'asian', 'market']","['meraque', 'group', 'launch', 'operation', 'uzbekistan', 'mark', 'expansion', 'central', 'asian', 'market']",meraque group launch operation uzbekistan mark expansion central asian market,POSITIVE
13,Trade between Malaysia and Uzbekistan showed positive development with a value of RM338.48 million in 2025.,trade between malaysia and uzbekistan showed positive development with a value of rm33848 million in 2025,"['trade', 'between', 'malaysia', 'and', 'uzbekistan', 'showed', 'positive', 'development', 'with', 'a', 'value', 'of', 'rm33848', 'million', 'in', '2025']","['trade', 'malaysia', 'uzbekistan', 'showed', 'positive', 'development', 'value', 'rm33848', 'million', '2025']","['trade', 'malaysia', 'uzbekistan', 'show', 'positive', 'development', 'value', 'rm33848', 'million', '2025']",trade malaysia uzbekistan show positive development value rm33848 million 2025,POSITIVE
14,Uzbekistan was invited to participate in Maha 2026.,uzbekistan was invited to participate in maha 2026,"['uzbekistan', 'was', 'invited', 'to', 'participate', 'in', 'maha', '2026']","['uzbekistan', 'invited', 'participate', 'maha', '2026']","['uzbekistan', 'invite', 'participate', 'maha', '2026']",uzbekistan invite participate maha 2026,NEUTRAL
15,Mohamad is leading the Malaysian delegation on an official working visit to Tashkent.,mohamad is leading the malaysian delegation on an official working visit to tashkent,"['mohamad', 'is', 'leading', 'the', 'malaysian', 'delegation', 'on', 'an', 'official', 'working', 'visit', 'to', 'tashkent']","['mohamad', 'leading', 'malaysian', 'delegation', 'official', 'working', 'visit', 'tashkent']","['mohamad', 'lead', 'malaysian', 'delegation', 'official', 'work', 'visit', 'tashkent']",mohamad lead malaysian delegation official work visit tashkent,NEUTRAL
16,Mohamad will participate in the Tashkent International Investment Forum 2026.,mohamad will participate in the tashkent international investment forum 2026,"['mohamad', 'will', 'participate', 'in', 'the', 'tashkent', 'international', 'investment', 'forum', '2026']","['mohamad', 'participate', 'tashkent', 'international', 'investment', 'forum', '2026']","['mohamad', 'participate', 'tashkent', 'international', 'investment', 'forum', '2026']",mohamad participate tashkent international investment forum 2026,NEUTRAL
17,Anwar Ibrahim urged Malaysians not to fall for racial rhetoric.,anwar ibrahim urged malaysians not to fall for racial rhetoric,"['anwar', 'ibrahim', 'urged', 'malaysians', 'not', 'to', 'fall', 'for', 'racial', 'rhetoric']","['anwar', 'ibrahim', 'urged', 'malaysians', 'not', 'fall', 'racial', 'rhetoric']","['anwar', 'ibrahim', 'urge', 'malaysian', 'not', 'fall', 'racial', 'rhetoric']",anwar ibrahim urge malaysian not fall racial rhetoric,POSITIVE
18,Election campaigns that pit one race against another will leave ordinary people without representation.,election campaigns that pit one race against another will leave ordinary people without representation,"['election', 'campaigns', 'that', 'pit', 'one', 'race', 'against', 'another', 'will', 'leave', 'ordinary', 'people', 'without', 'representation']","['election', 'campaigns', 'pit', 'one', 'race', 'against', 'another', 'leave', 'ordinary', 'people', 'without', 'representation']","['election', 'campaign', 'pit', 'one', 'race', 'against', 'another', 'leave', 'ordinary', 'people', 'without', 'representation']",election campaign pit one race against another leave ordinary people without representation,NEGATIVE
19,Anwar said campaigns should focus on people's rights instead of racial competition.,anwar said campaigns should focus on peoples rights instead of racial competition,"['anwar', 'said', 'campaigns', 'should', 'focus', 'on', 'peoples', 'rights', 'instead', 'of', 'racial', 'competition']","['anwar', 'said', 'campaigns', 'focus', 'peoples', 'rights', 'instead', 'racial', 'competition']","['anwar', 'say', 'campaigns', 'focus', 'people', 'right', 'instead', 'racial', 'competition']",anwar say campaigns focus people right instead racial competition,POSITIVE
20,Nomination for the Johor state polls has been set at June 27 and polling on July 11.,nomination for the johor state polls has been set at june 27 and polling on july 11,"['nomination', 'for', 'the', 'johor', 'state', 'polls', 'has', 'been', 'set', 'at', 'june', '27', 'and', 'polling', 'on', 'july', '11']","['nomination', 'johor', 'state', 'polls', 'set', 'june', '27', 'polling', 'july', '11']","['nomination', 'johor', 'state', 'poll', 'set', 'june', '27', 'poll', 'july', '11']",nomination johor state poll set june 27 poll july 11,NEUTRAL
21,Nomination for the Negri Sembilan state polls has been set on July 18 and polling on Aug 1.,nomination for the negri sembilan state polls has been set on july 18 and polling on aug 1,"['nomination', 'for', 'the', 'negri', 'sembilan', 'state', 'polls', 'has', 'been', 'set', 'on', 'july', '18', 'and', 'polling', 'on', 'aug', '1']","['nomination', 'negri', 'sembilan', 'state', 'polls', 'set', 'july', '18', 'polling', 'aug', '1']","['nomination', 'negri', 'sembilan', 'state', 'poll', 'set', 'july', '18', 'poll', 'aug', '1']",nomination negri sembilan state poll set july 18 poll aug 1,NEUTRAL
22,Anwar said protecting one community's rights does not come at another community's expense.,anwar said protecting one communitys rights does not come at another communitys expense,"['anwar', 'said', 'protecting', 'one', 'communitys', 'rights', 'does', 'not', 'come', 'at', 'another', 'communitys', 'expense']","['anwar', 'said', 'protecting', 'one', 'communitys', 'rights', 'not', 'come', 'another', 'communitys', 'expense']","['anwar', 'say', 'protect', 'one', 'community', 'right', 'not', 'come', 'another', 'community', 'expense']",anwar say protect one community right not come another community expense,POSITIVE
23,An allocation was approved for a community temple.,an allocation was approved for a community temple,"['an', 'allocation', 'was', 'approved', 'for', 'a', 'community', 'temple']","['allocation', 'approved', 'community', 'temple']","['allocation', 'approve', 'community', 'temple']",allocation approve community temple,NEUTRAL
24,The rights of all communities must be protected regardless of ethnicity or religion.,the rights of all communities must be protected regardless of ethnicity or religion,"['the', 'rights', 'of', 'all', 'communities', 'must', 'be', 'protected', 'regardless', 'of', 'ethnicity', 'or', 'religion']","['rights', 'communities', 'must', 'protected', 'regardless', 'ethnicity', 'religion']","['right', 'community', 'must', 'protect', 'regardless', 'ethnicity', 'religion']",right community must protect regardless ethnicity religion,POSITIVE
25,Anwar said good governance is based on compassion and justice.,anwar said good governance is based on compassion and justice,"['anwar', 'said', 'good', 'governance', 'is', 'based', 'on', 'compassion', 'and', 'justice']","['anwar', 'said', 'good', 'governance', 'based', 'compassion', 'justice']","['anwar', 'say', 'good', 'governance', 'base', 'compassion', 'justice']",anwar say good governance base compassion justice,POSITIVE
26,Longhouse families have remained on the site for more than four decades.,longhouse families have remained on the site for more than four decades,"['longhouse', 'families', 'have', 'remained', 'on', 'the', 'site', 'for', 'more', 'than', 'four', 'decades']","['longhouse', 'families', 'remained', 'site', 'four', 'decades']","['longhouse', 'family', 'remain', 'site', 'four', 'decade']",longhouse family remain site four decade,NEGATIVE
27,The Federal Court struck down a high-rise project planned for the area in 2023.,the federal court struck down a high rise project planned for the area in 2023,"['the', 'federal', 'court', 'struck', 'down', 'a', 'high', 'rise', 'project', 'planned', 'for', 'the', 'area', 'in', '2023']","['federal', 'court', 'struck', 'high', 'rise', 'project', 'planned', 'area', '2023']","['federal', 'court', 'strike', 'high', 'rise', 'project', 'plan', 'area', '2023']",federal court strike high rise project plan area 2023,NEUTRAL
28,The Cabinet agreed to build permanent homes for the families on the existing site.,the cabinet agreed to build permanent homes for the families on the existing site,"['the', 'cabinet', 'agreed', 'to', 'build', 'permanent', 'homes', 'for', 'the', 'families', 'on', 'the', 'existing', 'site']","['cabinet', 'agreed', 'build', 'permanent', 'homes', 'families', 'existing', 'site']","['cabinet', 'agree', 'build', 'permanent', 'home', 'family', 'exist', 'site']",cabinet agree build permanent home family exist site,POSITIVE
29,Ahmad Man admitted that the anti-hopping law has prevented him from joining Parti Wawasan Negara.,ahmad man admitted that the anti hopping law has prevented him from joining parti wawasan negara,"['ahmad', 'man', 'admitted', 'that', 'the', 'anti', 'hopping', 'law', 'has', 'prevented', 'him', 'from', 'joining', 'parti', 'wawasan', 'negara']","['ahmad', 'man', 'admitted', 'anti', 'hopping', 'law', 'prevented', 'joining', 'parti', 'wawasan', 'negara']","['ahmad', 'man', 'admit', 'anti', 'hop', 'law', 'prevent', 'join', 'parti', 'wawasan', 'negara']",ahmad man admit anti hop law prevent join parti wawasan negara,NEUTRAL
30,Joining another political party now could expose him to penalties under the anti-hopping law.,joining another political party now could expose him to penalties under the anti hopping law,"['joining', 'another', 'political', 'party', 'now', 'could', 'expose', 'him', 'to', 'penalties', 'under', 'the', 'anti', 'hopping', 'law']","['joining', 'another', 'political', 'party', 'could', 'expose', 'penalties', 'anti', 'hopping', 'law']","['join', 'another', 'political', 'party', 'could', 'expose', 'penalty', 'anti', 'hop', 'law']",join another political party could expose penalty anti hop law,NEGATIVE
31,Ahmad Man said he has no choice but to wait before joining another party.,ahmad man said he has no choice but to wait before joining another party,"['ahmad', 'man', 'said', 'he', 'has', 'no', 'choice', 'but', 'to', 'wait', 'before', 'joining', 'another', 'party']","['ahmad', 'man', 'said', 'no', 'choice', 'wait', 'joining', 'another', 'party']","['ahmad', 'man', 'say', 'no', 'choice', 'wait', 'join', 'another', 'party']",ahmad man say no choice wait join another party,NEGATIVE
32,He is still carrying out his duties as an assemblyman while operating alongside the Reset movement.,he is still carrying out his duties as an assemblyman while operating alongside the reset movement,"['he', 'is', 'still', 'carrying', 'out', 'his', 'duties', 'as', 'an', 'assemblyman', 'while', 'operating', 'alongside', 'the', 'reset', 'movement']","['still', 'carrying', 'duties', 'assemblyman', 'operating', 'alongside', 'reset', 'movement']","['still', 'carry', 'duty', 'assemblyman', 'operate', 'alongside', 'reset', 'movement']",still carry duty assemblyman operate alongside reset movement,NEUTRAL
33,Ahmad Man resigned as Bukit Gantang Bersatu division chief because he disagreed with the party leadership's actions.,ahmad man resigned as bukit gantang bersatu division chief because he disagreed with the party leaderships actions,"['ahmad', 'man', 'resigned', 'as', 'bukit', 'gantang', 'bersatu', 'division', 'chief', 'because', 'he', 'disagreed', 'with', 'the', 'party', 'leaderships', 'actions']","['ahmad', 'man', 'resigned', 'bukit', 'gantang', 'bersatu', 'division', 'chief', 'disagreed', 'party', 'leaderships', 'actions']","['ahmad', 'man', 'resign', 'bukit', 'gantang', 'bersatu', 'division', 'chief', 'disagree', 'party', 'leadership', 'action']",ahmad man resign bukit gantang bersatu division chief disagree party leadership action,NEGATIVE
34,Committee members and supporters left Bersatu after his resignation.,committee members and supporters left bersatu after his resignation,"['committee', 'members', 'and', 'supporters', 'left', 'bersatu', 'after', 'his', 'resignation']","['committee', 'members', 'supporters', 'left', 'bersatu', 'resignation']","['committee', 'member', 'supporter', 'leave', 'bersatu', 'resignation']",committee member supporter leave bersatu resignation,NEGATIVE
35,Former Bersatu members are expected to join Parti Wawasan Negara.,former bersatu members are expected to join parti wawasan negara,"['former', 'bersatu', 'members', 'are', 'expected', 'to', 'join', 'parti', 'wawasan', 'negara']","['former', 'bersatu', 'members', 'expected', 'join', 'parti', 'wawasan', 'negara']","['former', 'bersatu', 'member', 'expect', 'join', 'parti', 'wawasan', 'negara']",former bersatu member expect join parti wawasan negara,NEUTRAL
36,Ahmad Man claimed that the response towards Wawasan among former Bersatu members has been highly encouraging.,ahmad man claimed that the response towards wawasan among former bersatu members has been highly encouraging,"['ahmad', 'man', 'claimed', 'that', 'the', 'response', 'towards', 'wawasan', 'among', 'former', 'bersatu', 'members', 'has', 'been', 'highly', 'encouraging']","['ahmad', 'man', 'claimed', 'response', 'towards', 'wawasan', 'among', 'former', 'bersatu', 'members', 'highly', 'encouraging']","['ahmad', 'man', 'claim', 'response', 'towards', 'wawasan', 'among', 'former', 'bersatu', 'member', 'highly', 'encourage']",ahmad man claim response towards wawasan among former bersatu member highly encourage,POSITIVE
37,He said Bersatu's organisational structure in Bukit Gantang has become increasingly weak.,he said bersatus organisational structure in bukit gantang has become increasingly weak,"['he', 'said', 'bersatus', 'organisational', 'structure', 'in', 'bukit', 'gantang', 'has', 'become', 'increasingly', 'weak']","['said', 'bersatus', 'organisational', 'structure', 'bukit', 'gantang', 'become', 'increasingly', 'weak']","['say', 'bersatus', 'organisational', 'structure', 'bukit', 'gantang', 'become', 'increasingly', 'weak']",say bersatus organisational structure bukit gantang become increasingly weak,NEGATIVE
38,Zainol Fadzi joined Wawasan four months after being expelled from Bersatu.,zainol fadzi joined wawasan four months after being expelled from bersatu,"['zainol', 'fadzi', 'joined', 'wawasan', 'four', 'months', 'after', 'being', 'expelled', 'from', 'bersatu']","['zainol', 'fadzi', 'joined', 'wawasan', 'four', 'months', 'expelled', 'bersatu']","['zainol', 'fadzi', 'join', 'wawasan', 'four', 'month', 'expel', 'bersatu']",zainol fadzi join wawasan four month expel bersatu,NEUTRAL
39,Nga Kor Ming was presented with the PAM President's Award in recognition of his contributions to the institute.,nga kor ming was presented with the pam presidents award in recognition of his contributions to the institute,"['nga', 'kor', 'ming', 'was', 'presented', 'with', 'the', 'pam', 'presidents', 'award', 'in', 'recognition', 'of', 'his', 'contributions', 'to', 'the', 'institute']","['nga', 'kor', 'ming', 'presented', 'pam', 'presidents', 'award', 'recognition', 'contributions', 'institute']","['nga', 'kor', 'ming', 'present', 'pam', 'president', 'award', 'recognition', 'contribution', 'institute']",nga kor ming present pam president award recognition contribution institute,POSITIVE
40,"The award is reserved for non-architect individuals who have rendered exemplary contributions to PAM, the profession, or the national construction industry.",the award is reserved for non architect individuals who have rendered exemplary contributions to pam the profession or the national construction industry,"['the', 'award', 'is', 'reserved', 'for', 'non', 'architect', 'individuals', 'who', 'have', 'rendered', 'exemplary', 'contributions', 'to', 'pam', 'the', 'profession', 'or', 'the', 'national', 'construction', 'industry']","['award', 'reserved', 'non', 'architect', 'individuals', 'rendered', 'exemplary', 'contributions', 'pam', 'profession', 'national', 'construction', 'industry']","['award', 'reserve', 'non', 'architect', 'individual', 'render', 'exemplary', 'contribution', 'pam', 'profession', 'national', 'construction', 'industry']",award reserve non architect individual render exemplary contribution pam profession national construction industry,POSITIVE
41,"PAM recognised a ministerial tenure characterised by progressive policy updates, open industry dialogue, and commitment to competitive design standards.",pam recognised a ministerial tenure characterised by progressive policy updates open industry dialogue and commitment to competitive design standards,"['pam', 'recognised', 'a', 'ministerial', 'tenure', 'characterised', 'by', 'progressive', 'policy', 'updates', 'open', 'industry', 'dialogue', 'and', 'commitment', 'to', 'competitive', 'design', 'standards']","['pam', 'recognised', 'ministerial', 'tenure', 'characterised', 'progressive', 'policy', 'updates', 'open', 'industry', 'dialogue', 'commitment', 'competitive', 'design', 'standards']","['pam', 'recognise', 'ministerial', 'tenure', 'characterise', 'progressive', 'policy', 'update', 'open', 'industry', 'dialogue', 'commitment', 'competitive', 'design', 'standard']",pam recognise ministerial tenure characterise progressive policy update open industry dialogue commitment competitive design standard,POSITIVE
42,"Under Nga's leadership, the ministry engaged constructively with industry stakeholders to refine professional standards and support digital transformation.",under ngas leadership the ministry engaged constructively with industry stakeholders to refine professional standards and support digital transformation,"['under', 'ngas', 'leadership', 'the', 'ministry', 'engaged', 'constructively', 'with', 'industry', 'stakeholders', 'to', 'refine', 'professional', 'standards', 'and', 'support', 'digital', 'transformation']","['ngas', 'leadership', 'ministry', 'engaged', 'constructively', 'industry', 'stakeholders', 'refine', 'professional', 'standards', 'support', 'digital', 'transformation']","['ngas', 'leadership', 'ministry', 'engage', 'constructively', 'industry', 'stakeholder', 'refine', 'professional', 'standard', 'support', 'digital', 'transformation']",ngas leadership ministry engage constructively industry stakeholder refine professional standard support digital transformation,POSITIVE
43,PAM highlighted five primary administrative and technical pillars underpinning the recognition.,pam highlighted five primary administrative and technical pillars underpinning the recognition,"['pam', 'highlighted', 'five', 'primary', 'administrative', 'and', 'technical', 'pillars', 'underpinning', 'the', 'recognition']","['pam', 'highlighted', 'five', 'primary', 'administrative', 'technical', 'pillars', 'underpinning', 'recognition']","['pam', 'highlight', 'five', 'primary', 'administrative', 'technical', 'pillar', 'underpin', 'recognition']",pam highlight five primary administrative technical pillar underpin recognition,NEUTRAL
44,Design excellence was prioritised through architectural competitions for public buildings.,design excellence was prioritised through architectural competitions for public buildings,"['design', 'excellence', 'was', 'prioritised', 'through', 'architectural', 'competitions', 'for', 'public', 'buildings']","['design', 'excellence', 'prioritised', 'architectural', 'competitions', 'public', 'buildings']","['design', 'excellence', 'prioritise', 'architectural', 'competition', 'public', 'building']",design excellence prioritise architectural competition public building,POSITIVE
45,Ten landmark market design competitions have been organised under this framework.,ten landmark market design competitions have been organised under this framework,"['ten', 'landmark', 'market', 'design', 'competitions', 'have', 'been', 'organised', 'under', 'this', 'framework']","['ten', 'landmark', 'market', 'design', 'competitions', 'organised', 'framework']","['ten', 'landmark', 'market', 'design', 'competition', 'organise', 'framework']",ten landmark market design competition organise framework,NEUTRAL
46,Six competitions were administered by local councils while PAM facilitated four competitions.,six competitions were administered by local councils while pam facilitated four competitions,"['six', 'competitions', 'were', 'administered', 'by', 'local', 'councils', 'while', 'pam', 'facilitated', 'four', 'competitions']","['six', 'competitions', 'administered', 'local', 'councils', 'pam', 'facilitated', 'four', 'competitions']","['six', 'competition', 'administer', 'local', 'council', 'pam', 'facilitate', 'four', 'competition']",six competition administer local council pam facilitate four competition,NEUTRAL
47,"Other pillars included digital integration, protection of professional practice, collaboration with government agencies, and policy engagement.",other pillars included digital integration protection of professional practice collaboration with government agencies and policy engagement,"['other', 'pillars', 'included', 'digital', 'integration', 'protection', 'of', 'professional', 'practice', 'collaboration', 'with', 'government', 'agencies', 'and', 'policy', 'engagement']","['pillars', 'included', 'digital', 'integration', 'protection', 'professional', 'practice', 'collaboration', 'government', 'agencies', 'policy', 'engagement']","['pillar', 'include', 'digital', 'integration', 'protection', 'professional', 'practice', 'collaboration', 'government', 'agency', 'policy', 'engagement']",pillar include digital integration protection professional practice collaboration government agency policy engagement,POSITIVE
48,"Past recipients of the award include Low Khian Seng, Tan Sri Datuk Teo Chiang Kok, and Tun Dr Mahathir Mohamad.",past recipients of the award include low khian seng tan sri datuk teo chiang kok and tun dr mahathir mohamad,"['past', 'recipients', 'of', 'the', 'award', 'include', 'low', 'khian', 'seng', 'tan', 'sri', 'datuk', 'teo', 'chiang', 'kok', 'and', 'tun', 'dr', 'mahathir', 'mohamad']","['past', 'recipients', 'award', 'include', 'low', 'khian', 'seng', 'tan', 'sri', 'datuk', 'teo', 'chiang', 'kok', 'tun', 'dr', 'mahathir', 'mohamad']","['past', 'recipient', 'award', 'include', 'low', 'khian', 'seng', 'tan', 'sri', 'datuk', 'teo', 'chiang', 'kok', 'tun', 'dr', 'mahathir', 'mohamad']",past recipient award include low khian seng tan sri datuk teo chiang kok tun dr mahathir mohamad,NEUTRAL
49,Malaysia's total trade expanded 29.8% year-on-year to RM327.63 billion in May 2026.,malaysias total trade expanded 298 year on year to rm32763 billion in may 2026,"['malaysias', 'total', 'trade', 'expanded', '298', 'year', 'on', 'year', 'to', 'rm32763', 'billion', 'in', 'may', '2026']","['malaysias', 'total', 'trade', 'expanded', '298', 'year', 'year', 'rm32763', 'billion', 'may', '2026']","['malaysia', 'total', 'trade', 'expand', '298', 'year', 'year', 'rm32763', 'billion', 'may', '2026']",malaysia total trade expand 298 year year rm32763 billion may 2026,POSITIVE
50,Exports rose 45.3% to an all-time high of RM184 billion.,exports rose 453 to an all time high of rm184 billion,"['exports', 'rose', '453', 'to', 'an', 'all', 'time', 'high', 'of', 'rm184', 'billion']","['exports', 'rose', '453', 'time', 'high', 'rm184', 'billion']","['export', 'rise', '453', 'time', 'high', 'rm184', 'billion']",export rise 453 time high rm184 billion,POSITIVE
51,Imports increased 14.1% to RM143.62 billion.,imports increased 141 to rm14362 billion,"['imports', 'increased', '141', 'to', 'rm14362', 'billion']","['imports', 'increased', '141', 'rm14362', 'billion']","['import', 'increase', '141', 'rm14362', 'billion']",import increase 141 rm14362 billion,NEUTRAL
52,Trade surplus widened to a record monthly high of RM40.38 billion.,trade surplus widened to a record monthly high of rm4038 billion,"['trade', 'surplus', 'widened', 'to', 'a', 'record', 'monthly', 'high', 'of', 'rm4038', 'billion']","['trade', 'surplus', 'widened', 'record', 'monthly', 'high', 'rm4038', 'billion']","['trade', 'surplus', 'widen', 'record', 'monthly', 'high', 'rm4038', 'billion']",trade surplus widen record monthly high rm4038 billion,POSITIVE
53,Export growth was primarily driven by manufactured and mining products.,export growth was primarily driven by manufactured and mining products,"['export', 'growth', 'was', 'primarily', 'driven', 'by', 'manufactured', 'and', 'mining', 'products']","['export', 'growth', 'primarily', 'driven', 'manufactured', 'mining', 'products']","['export', 'growth', 'primarily', 'drive', 'manufacture', 'mining', 'product']",export growth primarily drive manufacture mining product,POSITIVE
54,Electrical and electronic products reached a new record high supported by demand for AI-related and automotive technologies.,electrical and electronic products reached a new record high supported by demand for ai related and automotive technologies,"['electrical', 'and', 'electronic', 'products', 'reached', 'a', 'new', 'record', 'high', 'supported', 'by', 'demand', 'for', 'ai', 'related', 'and', 'automotive', 'technologies']","['electrical', 'electronic', 'products', 'reached', 'new', 'record', 'high', 'supported', 'demand', 'ai', 'related', 'automotive', 'technologies']","['electrical', 'electronic', 'product', 'reach', 'new', 'record', 'high', 'support', 'demand', 'ai', 'related', 'automotive', 'technology']",electrical electronic product reach new record high support demand ai related automotive technology,POSITIVE
